tekst,change,company
zawarcie umowic o wartosc znaczacy pomiedzy a spolka kapitalowy administracyjny,0,0
odwolanie i powolanie prokurent,1,0
zawarcie umowic o wartosc znaczacy pomiedzy,0,0
zawarcie umowic o wartosc znaczacy,0,0
zawarcie umowic o wartosc znaczacy,0,0
zawarcie umowic o wartosc znaczacy pomiedzy a mercuria energy trading,0,0
zawarcie umowy na dostawa ropa naftowy,0,0
zawarcie umowic o wartosc umowy znaczacy,0,0
zmiana w statut,0,0
  tresc uchwala powziac przez wza,0,0
akcjonariusz posiadajacy co malo 5  glos na nwz w dzien 28.11.2012r.,0,0
zawarcie umowic o wartosc umowy znaczacy pomiedzy a spolka kapitalowy shell,0,0
ermin i porzadek nwz oraz projekt uchwala,1,0
wybor podmiot uprawniony do badanie sprawozdanie finansowy,0,0
termin i porzadek nwz oraz projekt uchwala,0,0
spelnienie warunek zawieszac umowy kredyt na,0,0
raport okresowy kwartalny skonsolidowac 3/2012 qsr,0,0
zawarcie umowic o wartosc umowy znaczacy pomiedzy a petraco oil company ltd.,0,0
zawarcie umowic o wartosc znaczacy pomiedzy a mercuria energy trading,1,0
zawarcie umowy kredytowy na refinansowanie obecny,0,0
zawarcie umowic o wartosc znaczacy z kapitalowy biskup,0,0
zawarcie umowic o wartosc znaczacy pomiedzy z kapitalowy,1,0
zawarcie umowic o wartosc znaczacy z mercuria energy trading,1,0
zawarcie umowic o wartosc znaczacy z kapitalowy statoil,0,0
  zawarcie umowic o wartosc znaczacy,0,0
raport okresowy polroczny za 2012 psr,1,0
zawarcie umowic o wartosc znaczacy z mercuria energy trading,0,0
zawarcie umowic o wartosc znaczacy z petraco oil company ltd.,0,0
akcjonariusz posiadajacy co malo 5  glos na zwz,0,0
tresc uchwala powziac przez zwz,0,0
powolanie zarzad osma kadencja,1,0
projekt uchwala wraz z uzasadnienie na zwz zwolac na 28 czerwiec 2012 r.,1,0
termin i porzadek zwz,1,0
wykaz informacja przekazac do publiczny wiadomosci w rok 2011,1,0
aneks do umowy znaczacy pomiedzy a kolej sp. z o.o.,1,0
rekomendacja zarzad w sprawa podzial zysk netto,0,0
zawarcie umowic o wartosc umowy znaczacy pomiedzy a kapitalowy chevron,0,0
skonsolidowac raport kwartalny qsr 2/2012,1,0
zawarcie umowic z kapitalowy statoil,1,0
  zawarcie umowy na dostawa ropa naftowy,1,0
zawarcie umowy na dostawa ropa naftowy pomiedzy a eminent energy ltd,0,0
  akcjonariusz posiadajacy co malo 5  glos na nwza,1,0
uchwala nwz podjac 29.02.2012 r.,1,0
umowy zawrzec pomiedzy a petraco oil company ltd.,1,0
powolanie osoba nadzorowac do rad nadzorczy,0,0
odwolanie osoba nadzorowac,0,0
termin przekazywac raport okresowy w 2012r.,1,0
rezygnacja czlonek rad nadzorczy,1,0
umowy zawrzec pomiedzy a tnk trade ltd.,0,0
wdrazac program optymalny ekspansja kapitalowy w 2012 r.,1,0
umowy zawrzec z podmiot kapitalowy biskup,1,0
umowy zawrzec z podmiot kapitalowy shell,0,0
zawarcie umowy na dostawa ropa naftowy,1,0
zawarcie umowy na dostawa ropa naftowy,1,0
umowy zawrzec z kapitalowy neste oil,0,0
umowa znaczacy z parafina sp. z o.o.,0,0
aneks do umowy znaczacy z pgnig,0,0
zawarcie umowy znaczacy na sprzedaz ciezki olej opalowy,1,0
przedluzenie umowy na sprzedaz paliwo plynny przez spolka na rzecz statoil poland sp. z o.o.,1,0
zawarcie umowy na dostawa ropa naftowy pomiedzy spolka a petraco oil company ltd.,1,0
rezygnacja czlonek rad nadzorczy,1,0
raport okresowy kwartalny skonsolidowac 3/2011 qsr,0,0
zawarcie umowy na dostawa ropa naftowy pomiedzy a eminent energy ltd.,1,0
szacunek wybrany czynnik maic istotny wplyw na wynik za 3 kwartal 2011 r.,0,0
