2376,48,raport kwartalny,1;
2377,15,projekt uchwala na zwza,1;
2378,15,skonsolidowac sprawozdanie finansowy msr,1;
2379,5,uchwala podjac na zwza,1;
2380,50,zostanš utworzyc nowe spolka transportowy,1;
2381,54,projekt uchwala na nwza,1;
2382,5,zmiana w zatrudnienie,1;
2383,7,uchwala nwza,0;
2384,15,podziemny magazyn paliwo,1;
2385,2,wstepny okolnik ofertowy,1;
2386,15,od 1 lipiec 2000 r. regionalny biuro handel detaliczny,1;
2387,6,uruchomic produkcja polietylen,1;
2388,24,decyzja kpwig,0;
2389,5,zmiana w zarzšdzie spolka,1;
2390,15,uzupelnienie raport roczny,1;
2391,35,wynik finansowy,1;
2392,8,zmiana w tre?ci prospekt emisyjny akcja seria d,1;
2393,9,zbycie akcja spolka,1;
2394,33,porozumienie z abn amro n.v.,1;
2395,15,odwolanie od decyzja uokik,1;
2396,33,emisja obligacja zamienny seria a,1;
2397,5,raport polroczny,0;
2398,8,termin raport sa ps,0;
2399,19,raport polroczny skonsolidowac msr,0;
2400,4,produkcja nowe olej,0;
2401,5,wypowiedzenie uklad zbiorowy praca,0;
2402,9,raport polroczny skonsolidowac,0;
2403,9,umowa z bank handlowy,1;
2404,9,zwrot zaleglo?ci podatkowy,0;
2405,5,umowa z roland berger & partner,1;
2406,11,uchylic kar nalozyc przez uokik,1;
2407,10,umowa kredytowy,0;
2408,57,uruchomic instalacja do kompozyt benzyna,0;
2409,48,raport kwartalny,0;
2410,15,nabycie akcja spolka z.a. anwil,0;
2411,23,nabycie akcja z.a. anwil,0;
2412,23,zmiana w sklad rad nadzorczy,0;
2413,31,instalacja hydroodsiarczania olej napedowy vi,0;
2414,49,termin i porzadek obrada nwza,0;
2415,15,skonsolidowac skrocic sprawozdanie finansowy wg. msr,0;
2416,14,termin przekazywac raport okresowy w 2001 r.,1;
2417,45,uruchomic instalacja reforming vi,0;
2418,9,zawarcie umowy na dostawa ropa,0;
2419,5,zaprzestanie produkcja benzyna etylizowac etylina 94,0;
2420,14,rezygnacja przewodniczacy rad nadzorczy,0;
2421,32,sprzedaz przez petroeltech sp. z o.o. akcja spolka,1;
2422,57,rezygnacja czlonek rn,1;
2423,9,przerwa w nwza,1;
2424,2,umowa na zakup lekki ropa naftowy,1;
2425,15,umowa na dostawa ropa z petrobaltic sp. z o.o.,1;
2426,43,zakup akcja spolka bht dromech,1;
2427,26,uzupelnienie do raport,1;
2428,22,przerwa w obrada nwza,1;
2429,4,rejestracja spolka koltrans sp. z o.o.,1;
2430,11,rejestracja zaklad urzadzenie dystrybucyjny sp. z o.o.,0;
2431,3,umowa na dostawa ropa naftowy z veba supply & trading gmbh,0;
2432,15,zawarcie umowic sprzedaz produkt,1;
2433,3,korekta raport biezacy,1;
2434,8,ekodisel plus 50,1;
2435,15,nwza zakonczyc obrady ustalac zmiana w sklad rn,1;
2436,6,korekta raport numer 4/2001,1;
2437,61,uchwala po nwza podjac w dzien 10 styczen 2001 r.,1;
2438,51,franklin resources  inc. posiadac ponad 5  akcja,1;
2439,5,transakcja z podmiot zalezny,1;
2440,15,laczyc spolka,1;
2441,48,raport kwartalny,1;
2442,6,umowy z silesia sp. z o.o. i pgnig,1;
2443,17,rozbudowa elektrocieplownia w,1;
2444,10,zaplata za akcja polkomtel,1;
2445,8,zgoda uokik,1;
2446,17,m.mroczkowski czasowo prezes zarzad spolka polkomtel,1;
2447,3,korekta raport numer 17/2001,1;
2448,26,raport roczny,0;
2449,2,nabycie udzial przez petrogaz plock sp. z o.o.,0;
2450,21,korekta raport numer 19/2001,0;
2451,11,termin i porzadek obrada zwza,0;
2452,2,przekazac do gus wynik po i kwartal 2001 r.,1;
2453,6,raport kwartalny sa q,1;
2454,43,wynik za rok 2000 wedlug msr,1;
2455,21,program level i dla w stan zjednoczyc,0;
2456,43,uchwala podjac przez zwza 14 maja 2001 rok,1;
2457,41,skonsolidowac raport kwartalny sa qs,1;
2458,23,zmiana w sklad rad nadzorczy,1;
2459,9,wplyw metoda wycena zapas na wynik finansowy,0;
2460,15,skonsolidowac sprawozdanie finansowy za i kwartal 2001,0;
2461,53,akcja premiowy,1;
