id,cluster,text,change
660,8,  transakcja na akcja,0
661,8,szacunek wybrany dany finansowy i operacyjny kapitalowy za 4kw'12,0
662,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
663,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
664,8,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,0
665,32,ship service nabyc obligacja wyemitowac przez,1
666,2,  transakcja na akcja spolka,1
667,31,umowy pomiedzy kapitalowy a statoil fuel & retail,1
668,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
669,2,anwil nabyc obligacja wyemitowac przez,1
670,8,transakcja na akcja dokonany przez osoba blisko zwiazac z czlonek rad nadzorczej.,0
671,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
672,2,  anwil nabyc obligacja wyemitowac przez,1
673,2,polski koncern naftowy podpisac z shell polski umowa na sprzedaz paliwo,1
674,2,podpisac z lukoil polski umowa na sprzedaz paliwo,1
675,2,podpisac z biskup europa umowa na sprzedaz paliwo,1
676,2,transakcja na akcja dokonany przez osoba blisko zwiazac z czlonek rad nadzorczej.,1
677,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
678,8,transakcja na akcja dokonany przez osoba blisko zwiazac z czlonek rad nadzorczy,0
679,8,ship service nabyc obligacja spolki.,0
680,8,  transakcja na akcja spolka,0
681,8,sprzedaz kolejny czesc zapas obowiazkowy ropa naftowy,0
682,2,umowy pomiedzy kapitalowy a shell,1
683,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
684,2,iks solino nabyc obligacja wyemitowac przez,1
685,2,transport nabyc obligacja wyemitowac przez,1
686,2,  ksiegowosc nabyc obligacja wyemitowac przez,1
687,8,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,0
688,8,podpisac z mercuria energy trading aneks do umowy na dostawa ropa naftowy,0
689,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rad nadzorczy,1
690,2,upstream sp. z o.o. nabyc obligacja wyemitowac przez,1
691,8,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,0
692,8,zawarcie kolejny aneks do umowy pomiedzy rafineria trzebinia i pgnig,0
693,8,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,0
694,8,transakcja na akcja dokonany przez osoba blisko zwiazac z czlonek rad nadzorczy spolka,0
695,2,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,1
696,2,transport nabyc obligacja spolki.,1
697,2,paliwo sp. z o.o. nabyc obligacja spolka,1
698,8,  transakcja na akcja spolka,0
699,8,  anwil nabyc obligacja wyemitowac przez,0
700,8,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rad nadzorczy,0
701,8,ship service nabyc obligacja wyemitowac przez spolke.,0
702,2,transakcja na akcja spolka przez osoba blisko zwiazac z czlonek rad nadzorczej.,1
703,8,transakcja na akcja spolka dokonany przez osoba blisko zwiazac z czlonek rn,0
