0,25,zatrudnienie doradca,1;
1,48,raport kwartalny,0;
2,8,objecie udzial w o'le sp. z o.o.,0;
3,5,aport do radio trefl,0;
4,10,raport kwartalny skonsolidowac,1;
5,2,raport kwartalny skonsolidowac wedlug ias,1;
6,15,wniosek o dopuscic do obrot,1;
7,15,termin i porzšdek obrada zwza,1;
8,5,wniosek o dopuscic akcja do obrot,0;
9,56,transakcja z podmiot powišzanymi,0;
10,34,aneks do porozumienie wstepne,0;
11,5,dopuscic akcja do obrot gieldowy,0;
12,8,odwolanie czlonek zarzšdu,0;
13,5,rozbudowa uslugi internetowy,0;
14,52,wniesc aport,1;
15,28,projekt uchwala na wza,1;
16,54,uchwala wza i wladza spolka,1;
17,8,uchwala podjac na walny zgromadzenie,0;
18,9,akcja pracowniczy,1;
19,35,wynik finansowy,1;
20,45,sprzedaz akcja pracowniczy,0;
21,15,podpisac umowy z porr polski,1;
22,6,umowa z porr polski,1;
23,53,umowa na dostawa maszyna drukarski,0;
24,6,bankers trust company przekroczyc 10 proc. glos na wza,0;
25,15,wynik fiansowe,1;
26,35,powolanie czlonek zarzšdu,1;
27,48,raport kwartalny,0;
28,10,raport kwartalny skonsolidowac,0;
29,11,wynik za pierwsze dwa kwartal 2000 r. ias,0;
30,2,wyga?niecie list intencyjny,1;
31,57,zmiana wysoko?ci i struktura kapital akcyjny kkkfm,0;
32,47,zakup wyszukiwarka altavista,0;
33,26,nazwa portal,1;
34,10,termin i porzšdek obrada nwza,1;
35,51,porzšdek wza   korekta,0;
36,5,projekt uchwala wza,1;
37,48,sprzedaz akcja przez wiceprezes,1;
38,2,holding sp. z o.o. nabyc akcja kkk femtometr,0;
39,33,uchwala wza,1;
40,33,uchwala wza,1;
41,13,akcjonariusz 5 proc.,1;
42,35,wynik finansowy,0;
43,9,raport polroczny skonsolidowac,0;
44,5,raport polroczny,0;
45,48,raport kwartalny,1;
46,10,raport kwartalny skonsolidowac,1;
47,8,termin raport okresowy,0;
48,15,duzy pakiet akcja,1;
49,24,umowy regulowac zasada zbywac akcja,1;
50,50,termin start portal,0;
51,15,rusza portal,0;
52,2,sprzedaz akcja przez czlonek zarzad,1;
53,43,wstepne wynik jednostkowy za cztery kwartal rok 2000,1;
54,48,raport kwartalny,0;
55,34,skonsolidowac raport kwartalny,0;
56,5,transakcja z podmiot powiazac,1;
57,5,oglaszac wezwanie na akcja ams,1;
58,11,zmiana cena w wezwanie na akcja ams,0;
59,5,sprzedaz akcja spolka,0;
60,59,zmiana cena i tresci wezwanie na akcja ams,0;
61,58,zaniechanie nabycie akcja ams,0;
62,16,termin przekazac raport roczny,0;
63,27,skonsolidowac raport roczny,0;
64,26,raport roczny,0;
65,38,wynki finansowy,0;
66,6,sprzedaz akcja tkp,0;
67,5,transakcja z podmiot powiazac,0;
68,49,nabycie udzial w city magazine,1;
69,41,skonsolidowac raport kwartalny sa qs,1;
70,6,raport kwartalny sa q,1;
71,33,wynik kwartalne,1;
72,33,zwolanie wza,1;
73,3,objecie udzial w centrum handel internetowy,1;
74,40,nabycie udzial w radio wanda sp. z o. o.,1;
75,57,wzajemny umowa regulowac zasada obrot papier wartosciowy,0;
76,33,uchwala wza,1;
77,5,struktura akcjonariat,1;
78,37,informacja o powolanie czlonek rad nadzorczy,1;
79,15,wyjasnienie do informacja prasowy dotyczyc uchwala wza,1;
80,12,wniosek o wprowadzenie do obrot gieldowy 2.870.845 akcja,1;
81,5,nabycie udzial w radio klasyka 103 7 femtometr,1;
82,58,wstepne wynik jednostkowy za pierwsze dwa kwartal rok 2001,1;
83,5,nabycie udzial w radio trefl 103/99 2 femtometr,0;
84,41,skonsolidowac raport kwartalny sa qs,0;
85,6,raport kwartalny sa q,0;
86,15,wynik dwa kwartal wg. msr,0;
87,6,nabycie udzial,1;
88,5,sprzedaz akcja spolka,0;
89,15,termin i porzadek zwolanie nwza,0;
90,54,projekt uchwala na nwza,0;
