id,cluster,text,change
4002,15,odpis aktualizacyjne w,1
4003,13,informacja o zmniejszenie posiadac udzial w ogolny liczba glos na wza,0
4004,15,zmniejszenie posiadac udzial w ogolny liczba glos ponizej 10  ogolny liczba glos na wza,1
4005,13,informacja o przekroczenie prog 10  ogolny liczba glos na wza,0
4006,15,termin publikacja raport okresowy,1
4007,15,zbycie akcja przez osoba z kierownictwo spolka byc czlonek zarzad,1
4008,13,rezygnacja czlonek zarzad z ubiegac siebie o wybor w nastepna kadencja,0
4009,13,zbycie akcja przez osoba z kierownictwo spolka byc czlonek zarzad,0
4010,13,raport okresowy kwartalny skonsolidowac 3/2012 qsr,0
4011,13,  zbycie akcja przez osoba z kierownictwo spolka,0
4012,15,zbycie akcja przez osoba z kierownictwo spolka,1
4013,13,informacja o przekroczenie prog 10  ogolny liczba glos na wza,0
4014,15,zbycie akcja przez osoba z kierownictwo spolka byc czlonek zarzad,1
4015,15,zbycie akcja przez osoba z kierownictwo spolka byc czlonek zarzad,1
4016,13,zmniejszenie zatrudnienie,0
4017,15,nabycie akcja przez osoba z kierownictwo spolka byc czlonek zarzad spolka,1
4018,15,raport okresowy polroczny za 2012 psr,1
4019,15,  rozpoczecie konsultacja w sprawa zmniejszenie zatrudnienie w spolka,1
4020,15,raport okresowy kwartalny skonsolidowac 2/2012 qsr,1
4021,13,  korekta do raport biezacy numer 22/2012,0
4022,13,akcjonariusz posiadajacy co malo 5  glos na zwz,0
4023,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 5 ,1
4024,13,korekta do raport biezacy numer 19/2012  ,0
4025,15,aneks numer 13 do umowy kredytowy z pekao,1
4026,15,projekt uchwala na zwz w dzien 22 czerwiec 2012 r.,1
4027,15,zwolanie zwz,1
4028,15,raport okresowy kwartalny skonsolidowac 1/2012 qsr,1
4029,13,rekomendacja zarzad w sprawa wyplat dwukrotnie wysoki dywidenda,0
4030,13,wykaz informacja przekazac do wiadomosci publiczny w 2011 roku.,0
4031,15,raport okresowy roczny skonsolidowac za 2011 rs,1
4032,15,raport okresowy roczny za 2011 rok,1
4033,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 5 ,1
4034,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 5 ,1
4035,29,wprowadzenie akcja do obrot na gpw,0
4036,13,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 10 ,0
4037,15,raport okresowy kwartalny skonsolidowac 4/2011 qsr,1
4038,15,odpis aktualizacyjne w,1
4039,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4040,15,powolanie nowy czlonek zarzad,1
4041,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 10 ,1
4042,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4043,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 10 ,1
4044,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 15 ,1
4045,15,  realizacja plan motywacyjny,1
4046,13,zbycie akcja,0
4047,13,nabycie udzial spolka goldenline sp. z o.o.,0
4048,13,rezygnacja tomasza jozefackiego z uczestnictwo w zarzad,0
4049,15,termin publikacja raport okresowy,1
4050,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4051,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4052,13,informacja o zmniejszenie posiadac udzial w ogolny liczba glos ponizej 15 ,0
4053,13,spelnienie warunki dla udzielic spolka dostepny transza kredyt,0
4054,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4055,15,informacja o zejscie ponizej prog 20  ogolny liczba glos na w zastepstwie,1
4056,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4057,15,informacja o zmniejszenie posiadac udzial w ogolny liczba glos o duzo niz 2 ,1
4058,15,  nabycie akcja przez czlonek zarzad,1
4059,15,raport okresowy polroczny za 2011 psr,1
4060,13,raport okresowy kwartalny skonsolidowac 2/2011 qsr,0
4061,13,rejestracja zmiana w statut spolka i ustalenie tekst jednolity statut,0
4062,15,  uzupelnienie informacja do aneks,1
4063,13,akcjonariuszej 5  glos na zwz 22 czerwiec 2011 rok,0
4064,13,uchwala o wyplat dywidenda podjac przez zwz,0
4065,13,uchwala podjac przez zwz 22 czerwiec 2011 r.,0
4066,15,zbycie akcja przez osoba z kierownictwo spolka byc czlonek zarzad spolka,1
4067,15,zawiadomienie w tryb ustawa o obrot instrument finansowy,1
4068,13,projekt uchwala zwz,0
4069,13,ogloszenie o zwolanie zwz,0
4070,15,aneks numer 12 do umowy kredytowy z pekao,1
4071,15,raport okresowy kwartalny skonsolidowac 1/2011 qsr,1
4072,13,  wykaz informacja przekazac w 2010 roku.,0
4073,15,zbycie akcja przez osoba z kierownictwo spolka,1
4074,15,zbycie akcja przez osoba z kierownictwo spolka,1
4075,15,zbycie akcja przez osoba z kierownictwo spolka,1
4076,15,zbycie akcja spolka,1
4077,15,zbycie akcja przez osoba z kierownictwo spolka,1
4078,15,zbycie akcja przez osoba z kierownictwo spolka,1
