3159,2,mol magvar olaj new gas andante condensate discovery in pakistan,0;
3160,2,mol magvar olaj mol andante cez modified the conditions of the option structure regarding mol shares,0;
3161,370,mol magvar olaj share sala of mol manager,1;
3162,208,mol magvar olaj number of voting rights at mol plc,1;
3163,2,mol magvar olaj: share sala of mol manager,0;
3164,2,mol magvar olaj share sala of mol manager,0;
3165,2,mol magvar olaj share sala of mol manager,0;
3166,370,mol magvar olaj share sala of mol manager,1;
3167,2,mol magvar olaj share sala of mol manager,0;
3168,358,mol magvar olaj treasury shares transaction,0;
3169,358,mol magvar olaj treasury shares transaction,0;
3170,2,mol magvar olaj mol zlozyc wiazacy oferta na 96 9  udzial w spolka oao udmurtneft,0;
3171,116,mol magvar olaj   es gazipari nyilvanosan mukodo reszvenvtarsasag raport roczny,1;
3172,338,mol magvar olaj ilosc prawic glos,1;
3173,11,mol magvar olaj podpisac umowa zakup zwiekszac do 100  udzial w mol austria handels gmbh,1;
3174,43,mol magvar olaj zakup akcja wlasny,0;
3175,2,mol magvar olaj miec nowe partner w spolka zmb,0;
3176,166,mol magvar olaj udzial spolka w ina wzrosc do 47 15 ,1;
3177,11,mol magvar olaj   sprzedaz akcja przez ceo mol,1;
3178,263,mol magvar olaj powiadomienie oman oil budapest limited dotyczyc zmiana w ilosci prawic glos,1;
3179,346,mol magvar olaj   zakup akcja wlasny,1;
3180,2,mol magvar olaj projekt umowy z exxonmobil,0;
3181,11,mol magvar olaj wstepne wynik mol za iii kwartal 2007 rok,1;
3182,43,mol magvar olaj zakup akcja wlasny,0;
3183,2,mol magvar olaj wstepne wynik mol za iii kwartal 2008 r.,0;
3184,11,mol magvar olaj sprzedaz akcja przez menadzer mol,1;
3185,46,mol magvar olaj zmiana wplyw na spolka,1;
3186,11,mol magvar olaj zmiana w ilosci prawic glos,1;
3187,2,mol magvar olaj ilosc prawic glos,0;
3188,2,mol magvar olaj   es gazipari rszvenvtarsasag zmiana organizacyjny,0;
3189,46,mol magvar olaj zmiana wplyw na spolka,1;
3190,11,mol magvar olaj nabycie akcja przez czlonek rn,1;
3191,2,mol magvar olaj uchwala walny zgromadzenie akcjonariusz z 23 kwietni 2008 r.,0;
3192,2,mol magvar olaj dokument na walny zebranie akcjonariusz   wersja polski,0;
3193,48,mol magvar olaj zakup akcja wlasny,1;
3194,11,mol magvar olaj   zakup obligacja kapitalowy przez menadzer mol,1;
3195,397,mol magvar olaj zmiana wplyw na spolka,0;
3196,11,mol magvar olaj zmiana wspolczynnik w adr ach,1;
3197,11,mol magvar olaj wstepne wynik mol za i kwartal 2005 rok,1;
3198,11,mol magvar olaj powiadomienie bhv aga dotyczyc zmiana w ilosci prawic glos,1;
3199,2,mol magvar olaj zakonczyc zakup ngosso permit w kamerunie,0;
3200,11,mol magvar olaj skrocic harmonogram wza spolka,1;
3201,131,mol magvar olaj harmonogram wza spolka wersja angielski,1;
3202,138,mol magvar olaj   ilosc prawic glos w spolka mol,1;
3203,2,mol magvar olaj   es gazipari rszvenvtarsasag sprzedaz akcja wlasny,0;
3204,48,mol magvar olaj zakup akcja wlasny,1;
3205,5,mol magvar olaj strategiczny sojusz pomiedzy cez a mol,0;
3206,11,mol magvar olaj zbycie akcja przez menedzer spolka,1;
3207,11,mol magvar olaj zbycie akcja przez menedzer spolka,1;
3208,2,mol magvar olaj dokument na walny zgromadzenie akcjonariusz,0;
3209,11,mol magvar olaj podpisac umowy opcja z ing bank n.v.,1;
3210,363,mol magvar olaj wynik przetarg na wybudowac strategiczny magazyn gaz,1;
3211,30,mol magvar olaj utworzyc spolka joint venture mol i cez,0;
3212,2,mol magvar olaj odkrycie nowy zloze ropa naftowy w rosji efekt dzialanie poszukiwawczy spolka,0;
3213,11,mol magvar olaj organizowac dzien dla analityk oraz inwestor,1;
3214,2,mol magvar olaj oswiadczenie w sprawa powiadomienie dotyczyc fuzja,0;
3215,11,mol magvar olaj   es gazipari rszvenvtarsasag zakup akcja wlasny,1;
3216,2,mol magvar olaj   zakup akcja wlasny,0;
3217,48,mol magvar olaj zakup akcja wlasny,1;
3218,11,mol magvar olaj miejsce publikacja wstepny wynik za iv kw. i 2006 r.,1;
3219,319,mol magvar olaj swiatlo dla spolka joint venture mol i cez,1;
3220,48,mol magvar olaj zakup akcja wlasny,1;
3221,2,mol magvar olaj informacja o zmiana wplyw na spolka mol,0;
3222,2,mol magvar olaj raport podsumowywac mol za rok finansowy 2007,0;
3223,2,mol magvar olaj raport roczny 2007,0;
3224,43,mol magvar olaj zakup akcja wlasny,0;
3225,2,mol magvar olaj nabycie akcja wlasny,0;
3226,11,mol magvar olaj realizacja transakcja,1;
3227,2,mol magvar olaj   zakup akcja wlasny,0;
3228,26,mol magvar olaj zamiana akcja wlasny,0;
3229,11,mol magvar olaj  raport roczny mol za 2006 rok   uzupelnic wersja polskojezyczny,1;
3230,11,mol magvar olaj podpisac porozumienie z indyjski spolka ongc,1;
3231,2,mol magvar olaj nabycie akcja wlasny,0;
3232,2,mol magvar olaj sad rejestrowy zarejestrowac podwyzszenie kapital akcyjny spolka,0;
3233,44,mol magvar olaj ilosc prawic glos przypisac do akcja,1;
3234,2,mol magvar olaj rada dyrektor oglaszac wyplata dywidenda za rok obrotowy 2006,0;
3235,48,mol magvar olaj zakup akcja wlasny,1;
3236,362,mol magvar olaj potwierdzenie obsada stanowisko dyrektor zarzadzajacy siec sprzedaz,1;
3237,43,mol magvar olaj zakup akcja wlasny,0;
3238,2,mol magvar olaj stanowisko firma mol odnosnie oswiadczenie omv,0;
3239,76,mol magvar olaj zmiana wplyw na spolka mol,0;
3240,2,mol magvar olaj umowa na zakup 100  udzial w italiana energia e servizi,0;
3241,207,mol magvar olaj sprzedaz akcja przez menadzer   korekta komunikat,0;
